9400628745;RU57001000076;п;Зелёный Шум;обл. Орловская;Россия;302531-302531;1;--;--;--;Чт;--;--;--
9405714447;RU02044000069;с;Кендектамак;Район Туймазинский, Республика Башкортостан;Россия;452785-452785;1;--;--;--;--;Пт;--;--
9466812284;RU76005000170;с;Ставотино;Район Гаврилов-Ямский, обл. Ярославская;Россия;152233-152233;1;Пн;--;Ср;--;Пт;--;--
9434040173;RU50009000513;д;Дьяково;Район Истринский, обл. Московская;Россия;143513-143513;1;Пн;--;Ср;--;Пт;--;--
9580114563;BY07208824076;д;Панкратовичи;Район Бобруйский, обл. Могилевская;Беларусь;213853-213853;1;Пн;--;--;--;--;--;--
9399660714;RU57013000127;п;Совхозный;Район Ливенский, обл. Орловская;Россия;303819-303819;1;--;Вт;--;--;Пт;--;--
9412460749;RU20007000003;с;Верхний-Наур;Район Надтеречный, Республика Чеченская;Россия;366812-366812;1;--;--;Ср;--;Пт;--;--
9715548766;RU50009000519;д;Ламишино;Район Истринский, обл. Московская;Россия;143513-143513;1;Пн;--;Ср;--;Пт;--;--
9841614220;RU50009000647;д;Денежкино;Район Истринский, обл. Московская;Россия;;1;Пн;--;Ср;--;Пт;--;--
9841619807;RU50009000517;д;Карцево;Район Истринский, обл. Московская;Россия;143515-143515;1;Пн;--;Ср;--;Пт;--;--
9841619925;RU50009000580;д;Никитское;Район Истринский, обл. Московская;Россия;143516-143516;1;Пн;--;Ср;--;Пт;--;--
9841621230;RU50009000719;д;Рыжково;Район Истринский, обл. Московская;Россия;143560-143560;1;Пн;--;Ср;--;Пт;--;--
9841472698;RU50026011000;с/п;Вороновское;Район Подольский, обл. Московская;Россия;;1;--;Вт;--;Чт;--;--;--
9841473259;RU50009000617;д;Леоново (Бужаровское с/п);Район Истринский, обл. Московская;Россия;;1;Пн;--;Ср;--;Пт;--;--
9840857085;RU74000010020;с;Новоандреевка;г. Миасс, обл. Челябинская;Россия;456395-456395;1;--;Вт;--;Чт;--;--;--
9328099023;RU23033000040;ст-ца;Фонталовская;Район Темрюкский, край Краснодарский;Россия;353550-353550;1;Пн;--;Ср;Чт;--;Сб;--
9328264600;RU23016000016;п;Красный Лес;Район Красноармейский, край Краснодарский;Россия;353824-353824;1;--;--;Ср;Чт;--;--;--
9404086790;RU26013000013;х;Дегтяревский;Район Кочубеевский, край Ставропольский;Россия;357026-357026;1;Пн;Вт;Ср;Чт;Пт;--;--
9695231629;RU02000001005;п;Никольский;г. Уфа, Респ Башкортостан;Россия;450045-450045;1;--;Вт;--;--;--;--;--
9400477339;RU02014000012;с;Новоникольское;Респ Башкортостан;Россия;452746-452746;1;--;Вт;--;--;--;--;--
9641231891;KZ03005000008;с;Жалгызагаш;Район Ескельдинский, обл. Алматинская;Казахстан;40509-40509;1;--;--;--;--;Пт;--;--
9771633920;RU40004002004;городок;Балабаново-1;г. Балабаново, Район Боровский, обл. Калужская;Россия;249000-249001;1;--;Вт;Ср;Чт;Пт;--;--
9455786713;RU34022000002;с;Абганерово;Район Октябрьский, обл. Волгоградская;Россия;404302-404302;1;--;Вт;--;--;--;--;--
9743643333;KZ10003000009;с;Жайылма;Район Жанакорганский, обл. Кызылординская;Казахстан;120398-120398;1;Пн;--;--;--;Пт;--;--
9743647980;KZ10001000007;с;Жаксыкылыш;Район Аральский, обл. Кызылординская;Казахстан;120108-120108;1;--;Вт;--;--;Пт;--;--
9328836680;RU45021000038;с;Ключи;Район Шадринский, обл. Курганская;Россия;641850-641850;1;Пн;--;Ср;--;Пт;--;--
9409691348;KZ04004000001;с;Сафоновка;Район Курмангазинский, обл. Атырауская;Казахстан;60412-60412;1;--;--;--;--;Пт;--;--
9569692605;RU20007000005;с;Бено-Юрт;Район Надтеречный, Республика Чеченская;Россия;366814-366814;1;--;--;--;--;--;--;--
9636068483;RU40004000016;д;Вашутино;Район Боровский, обл. Калужская;Россия;249007-249007;1;Пн;Вт;Ср;Чт;Пт;--;--
9403713987;RU47007000074;д;Ивановка (Пудостьское с/п);Район Гатчинский, обл. Ленинградская;Россия;188352-188352;1;Пн;--;Ср;--;Пт;--;--
9587124815;KG04003000002;с;Исфана;Район Лейлекский район, обл. Баткенская;Кыргызстан;720400-720400;1;--;Вт;--;--;--;Сб;--
9587234290;KG02005000002;с;Найман;Район Ноокатский, обл. Ошская;Кыргызстан;723414-723414;1;--;Вт;--;--;--;Сб;--
9587393501;KG07004000002;с;Кепюре-Базар;Район Таласский, обл. Таласская;Кыргызстан;724110-724110;1;--;Вт;--;Чт;--;Сб;--
9587480530;KG07002000002;с;Аманбаево (Грозное);Район Кара-Бууринский, обл. Таласская;Кыргызстан;723901-723901;1;--;Вт;--;Чт;--;Сб;--
9587550643;KG07004000003;с;Кенеш;Район Таласский, обл. Таласская;Кыргызстан;724112-724112;1;--;Вт;--;Чт;--;Сб;--
10084676108;BY02218874086;д;Кожемяки;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676111;BY02218874091;д;Лука;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676115;BY02218874096;д;Лыска;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676125;BY02218874101;д;Мамчиково;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676129;BY02218874106;д;Минины;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676136;BY02218874116;д;Морозово;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676141;BY02218874121;д;Петраки;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676145;BY02218874146;д;Радченки;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676153;BY02218874151;д;Росляки;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676172;BY02218874161;д;Сельцо;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676183;BY02218874166;д;Сутоки;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676191;BY02218874171;д;Тросница;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676203;BY02218874176;д;Туринец-1;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676213;BY02218874181;д;Хомяково;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676224;BY02218874186;д;Шабаны;Район Городокский, обл. Витебская;Беларусь;211574-211574;1;--;Вт;--;Чт;--;--;--
10084676230;BY02210876091;д;Устье;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676234;BY02210876096;д;Шатрово;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676237;BY02210876101;д;Юралово;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676245;BY02210881031;д;Кончаны;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676253;BY02210892006;д;Буды;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676256;BY02210892011;д;Великое Село;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676260;BY02210892016;д;Волесы;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676263;BY02210892021;д;Гаврилино;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676267;BY02210892026;д;Городиловичи;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676273;BY02210892031;д;Денисенки;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676276;BY02210892036;д;Доброплесы;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676279;BY02210892041;д;Дубровы;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676289;BY02210892046;д;Залучье;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676293;BY02210892051;д;Игналино;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676297;BY02210892056;д;Изубрица;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676301;BY02210892061;д;Кобылинцы;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676307;BY02210892066;д;Кострово;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
10084676312;BY02210892071;д;Красово;Район Верхнедвинский, обл. Витебская;Беларусь;211631-211631;1;--;Вт;--;Чт;--;--;--
